Year,Month,Day,Hour,TwitterVolume
2011,11,09,19,110715
2011,11,09,20,105507
2011,11,09,21,87154
2011,11,09,22,70470
2011,11,09,23,59528
2011,11,10,00,54074
2011,11,10,01,53557
2011,11,10,02,57494
2011,11,10,03,56250
2011,11,10,04,73050
2011,11,10,05,88889
2011,11,10,06,104208
2011,11,10,07,114106
2011,11,10,08,118712
2011,11,10,09,109512
2011,11,10,10,98869
2011,11,10,11,94812
2011,11,10,12,91584
2011,11,10,13,92266
2011,11,10,14,105276
2011,11,10,15,103721
2011,11,10,16,118806
2011,11,10,17,112243
2011,11,10,18,111709
2011,11,10,19,110146
2011,11,10,20,104268
2011,11,10,21,85365
2011,11,10,22,71307
2011,11,10,23,62902
2011,11,11,00,59286
2011,11,11,01,56517
2011,11,11,02,60264
2011,11,11,03,66001
2011,11,11,04,79579
2011,11,11,05,91227
2011,11,11,06,106009
2011,11,11,07,119303
2011,11,11,08,124819
2011,11,11,09,118432
2011,11,11,10,106339
2011,11,11,11,97564
2011,11,11,12,94009
2011,11,11,13,97857
2011,11,11,14,100975
2011,11,11,15,104932
2011,11,11,16,106811
2011,11,11,17,103482
2011,11,11,18,100266
2011,11,11,19,97868
2011,11,11,20,92866
2011,11,11,21,87625
2011,11,11,22,73384
2011,11,11,23,61772
2011,11,12,00,57304
2011,11,12,01,55767
2011,11,12,02,54274
2011,11,12,03,62529
2011,11,12,04,73645
2011,11,12,05,81412
2011,11,12,06,94852
2011,11,12,07,108150
2011,11,12,08,114144
2011,11,12,09,112023
2011,11,12,10,102737
2011,11,12,11,94338
2011,11,12,12,89161
2011,11,12,13,91945
2011,11,12,14,94058
2011,11,12,15,93135
2011,11,12,16,96799
2011,11,12,17,98017
2011,11,12,18,99341
2011,11,12,19,104450
2011,11,12,20,98247
2011,11,12,21,91700
2011,11,12,22,86736
2011,11,12,23,73011
2011,11,13,00,62324
2011,11,13,01,58595
2011,11,13,02,59380
2011,11,13,03,61502
2011,11,13,04,71388
2011,11,13,05,85076
2011,11,13,06,101200
2011,11,13,07,108696
2011,11,13,08,110906
2011,11,13,09,105890
2011,11,13,10,103143
2011,11,13,11,100594
2011,11,13,12,99703
2011,11,13,13,109888
2011,11,13,14,110810
2011,11,13,15,106332
2011,11,13,16,110311
2011,11,13,17,109696
2011,11,13,18,110961
2011,11,13,19,112013
2011,11,13,20,112546
2011,11,13,21,94483
2011,11,13,22,74966
2011,11,13,23,61838
2011,11,14,00,55418
2011,11,14,01,52431
2011,11,14,02,55593
2011,11,14,03,59988
2011,11,14,04,72687
2011,11,14,05,90490
2011,11,14,06,105014
2011,11,14,07,116906
2011,11,14,08,116541
2011,11,14,09,108504
2011,11,14,10,99946
2011,11,14,11,95162
2011,11,14,12,96027
2011,11,14,13,100445
2011,11,14,14,87164
2011,11,14,15,80787
2011,11,14,16,108103
2011,11,14,17,111708
2011,11,14,18,120122
2011,11,14,19,127501
2011,11,14,20,117689
2011,11,14,21,96608
2011,11,14,22,75153
2011,11,14,23,65943
2011,11,15,00,57581
2011,11,15,01,54238
2011,11,15,02,54702
2011,11,15,03,59984
2011,11,15,04,72713
2011,11,15,05,89945
2011,11,15,06,102518
2011,11,15,07,115909
2011,11,15,08,116030
2011,11,15,09,109311
2011,11,15,10,100987
2011,11,15,11,97330
2011,11,15,12,94805
2011,11,15,13,101521
2011,11,15,14,109815
2011,11,15,15,115457
2011,11,15,16,116506
2011,11,15,17,112466
2011,11,15,18,113208
2011,11,15,19,110878
2011,11,15,20,104361
2011,11,15,21,87241
2011,11,15,22,69310
2011,11,15,23,60355
2011,11,16,00,53307
2011,11,16,01,52481
2011,11,16,02,54509
2011,11,16,03,60923
2011,11,16,04,74765
2011,11,16,05,89039
2011,11,16,06,100045
2011,11,16,07,110717
2011,11,16,08,117432
2011,11,16,09,106240
2011,11,16,10,97122
2011,11,16,11,92894
2011,11,16,12,94479
2011,11,16,13,100493
2011,11,16,14,109776
2011,11,16,15,117318
2011,11,16,16,119309
2011,11,16,17,116706
2011,11,16,18,115866
2011,11,16,19,109294
2011,11,16,20,103828
2011,11,16,21,89899
2011,11,16,22,71473
2011,11,16,23,61298
2011,11,17,00,54928
2011,11,17,01,54532
2011,11,17,02,54937
2011,11,17,03,59833
2011,11,17,04,73705
2011,11,17,05,94668
2011,11,17,06,105234
2011,11,17,07,113022
2011,11,17,08,113252
2011,11,17,09,108438
2011,11,17,10,96926
2011,11,17,11,92537
2011,11,17,12,92452
2011,11,17,13,99785
2011,11,17,14,105850
2011,11,17,15,112183
2011,11,17,16,113238
2011,11,17,17,111840
2011,11,17,18,110106
2011,11,17,19,105476
2011,11,17,20,99836
2011,11,17,21,89133
2011,11,17,22,70659
2011,11,17,23,60235
2011,11,18,00,56084
2011,11,18,01,55030
2011,11,18,02,57299
2011,11,18,03,60341
2011,11,18,04,72121
2011,11,18,05,86026
2011,11,18,06,99024
2011,11,18,07,111830
2011,11,18,08,116502
2011,11,18,09,109572
2011,11,18,10,101207
2011,11,18,11,90870
2011,11,18,12,90607
2011,11,18,13,92890
2011,11,18,14,100622
2011,11,18,15,102908
2011,11,18,16,105930
2011,11,18,17,101926
2011,11,18,18,102097
2011,11,18,19,98428
2011,11,18,20,93578
2011,11,18,21,85219
2011,11,18,22,75071
2011,11,18,23,62095
2011,11,19,00,56779
2011,11,19,01,54559
2011,11,19,02,57892
2011,11,19,03,60010
2011,11,19,04,68686
2011,11,19,05,85309
2011,11,19,06,101587
2011,11,19,07,118291
2011,11,19,08,118069
